"","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","p_h","sulphates","alcohol","quality"
"fixed_acidity",1,-0.256130894770382,0.671703434764106,0.114776724494921,0.0937051863213054,-0.153794192864825,-0.113181443045481,0.668047292118974,-0.682978194568531,0.183005663932153,-0.0616682706281511,0.124051649113224
"volatile_acidity",-0.256130894770382,1,-0.55249568455958,0.00191788196279072,0.0612977724764615,-0.0105038270065918,0.0764700048209282,0.0220262321952165,0.234937294407393,-0.26098668528329,-0.202288027153256,-0.390557780264007
"citric_acid",0.671703434764106,-0.55249568455958,1,0.143577161570314,0.203822913829042,-0.0609781291923049,0.0355330239311615,0.364947175211252,-0.54190414473951,0.312770043854417,0.109903246641567,0.226372514318041
"residual_sugar",0.114776724494921,0.00191788196279072,0.143577161570314,1,0.0556095352035322,0.187048995104287,0.203027881697101,0.355283370983376,-0.0856524222188716,0.0055271213391383,0.0420754372097311,0.0137316373400663
"chlorides",0.0937051863213054,0.0612977724764615,0.203822913829042,0.0556095352035322,1,0.00556214700478112,0.0474004682590752,0.200632326641513,-0.265026131173227,0.371260481285426,-0.221140544788283,-0.128906559930053
"free_sulfur_dioxide",-0.153794192864825,-0.0105038270065918,-0.0609781291923049,0.187048995104287,0.00556214700478112,1,0.667666450481022,-0.02194583116349,0.0703774985049419,0.0516575718428285,-0.0694083535649999,-0.0506560572442764
"total_sulfur_dioxide",-0.113181443045481,0.0764700048209282,0.0355330239311615,0.203027881697101,0.0474004682590752,0.667666450481022,1,0.071269476203103,-0.0664945590128559,0.0429468362395383,-0.205653943743671,-0.185100288926538
"density",0.668047292118974,0.0220262321952165,0.364947175211252,0.355283370983376,0.200632326641513,-0.02194583116349,0.071269476203103,1,-0.341699334785031,0.148506411720785,-0.496179770241701,-0.17491922778335
"p_h",-0.682978194568531,0.234937294407393,-0.54190414473951,-0.0856524222188716,-0.265026131173227,0.0703774985049419,-0.0664945590128559,-0.341699334785031,1,-0.19664760230437,0.205632508505498,-0.0577313912053821
"sulphates",0.183005663932153,-0.26098668528329,0.312770043854417,0.0055271213391383,0.371260481285426,0.0516575718428285,0.0429468362395383,0.148506411720785,-0.19664760230437,1,0.0935947504104674,0.251397079069261
"alcohol",-0.0616682706281511,-0.202288027153256,0.109903246641567,0.0420754372097311,-0.221140544788283,-0.0694083535649999,-0.205653943743671,-0.496179770241701,0.205632508505498,0.0935947504104674,1,0.476166324001136
"quality",0.124051649113224,-0.390557780264007,0.226372514318041,0.0137316373400663,-0.128906559930053,-0.0506560572442764,-0.185100288926538,-0.17491922778335,-0.0577313912053821,0.251397079069261,0.476166324001136,1
